ID,Name
21769,NEW YORK TIMES
21770,NGL ENERGY
21771,NIELSEN HOLDINGS
21772,OASIS PETROLEUM
21773,OCCIDENTAL PETROLEUM
21774,OLD REPUBLIC
21775,PACKAGING
21776,PANERA BREAD
21777,PAPA JOHNS
21778,PARSLEY ENERGY
21779,PAYCOM
21780,PEPSICO
21781,PHILIP MORRIS
21782,POLARIS
21783,POPEYES
21784,POST HOLDINGS
21785,REGENCY CENTERS
21786,REINSURANCE
21787,ROCKWELL AUTOMATION
21788,ROYAL GOLD
21789,RPC
21790,RUCKUS WIRELESS
21791,SANDISK
21792,SM ENERGY
21793,SOLARCITY
21795,SONOCO PRODUCTS
21796,SOUTHWESTERN ENERGY
21797,SPIRIT AIRLINES
21798,ST JUDE MEDICAL
21799,STARWOOD
21800,STATE STREET
21801,SUNEDISON
21802,SUPERIOR ENERGY SERVICES
21803,SVB FINANCIA
21804,SYMANTEC
21805,T ROWE PRICE
21806,TARGA RESOURCES
21807,TAUBMAN CENTERS
21808,TELEDYNE TECHNOLOGIES
21809,TELEPHONE AND DATA SYSTEMS
21810,TETRA TECH
21811,TIFFANY
21812,TIME WARNER CABLE
21813,TRIPADVISOR
21814,TRIUMPH
21815,TUPPERWARE
21816,US NATURAL GAS FUND
21817,VALEANT PHARMACEUTICALS
21818,WESTERN UNION
21819,WHIRLPOOL
21820,XCEL ENERGY
21821,YELP
21822,YUM!
21829,DEUTSCHE BOERSE
21830,LUFTHANSA
21831,DEUTSCHE TELEKOM
21832,DUERR
21833,INFINEON
21834,LEG
21835,THYSSEN-KRUPP
21837,ADECCO
21838,CLARIANT
21839,DKSH
21840,DUFRY
21841,GIVAUDAN
21843,LOGITECH
21844,LONZA
21845,NOVARTIS
21847,PANALPINA WELTTRANSPORT
21854,UBS GROUP
21856,KORIAN
21859,PERNOD-RICARD
21861,ACERINOX
21862,ACS
21863,AMADEUS IT HOLDING
21864,EBRO FOODS
21866,ENDESA
21867,INDRA SISTEMAS S.A.
21868,RED ELECTRICA
21870,VISCOFAN
21871,BINCKBANK
21873,OCI
21876,TOMTOM
21877,AARONS
21878,ABAXIS
21879,ACADIA REALTY TRUST
21880,ACUITY BRANDS
21881,ADTRAN
21882,ADVISORY BOARD
21883,AES
21885,AFFILIATED MANAGERS
21886,AGCO
21887,AGIOS PHARMACEUTICALS
21888,AIR LEASE
21889,AIR METHODS
21890,AIRGAS
21891,AK STEEL
21892,AKAMAI TECHNOLOGIES
21893,ALASKA AIR
21894,ALLEGHENY TECHNOLOGIES
21895,ALLERGAN
21896,ALLIANT ENERGY
21897,ALLISON TRANSMISSION
21898,ALLY FINANCIAL
21899,AMBARELLA
21900,AMC NETWORKS
21901,AMDOCS
21902,AMERICAN ASSETS TRUST
21903,AMERICAN FINANCIAL
21904,AMERICAN TOWER
21905,AMPHENOL
21906,BANCORP
21907,BIG LOTS
21908,BIO-RAD LABORATORIES
21909,BIOMARIN PHARMACEUTICALS
21911,BLACK HILLS
21912,BLACKSTONE
21913,BLOOMIN BRANDS
21914,BOK FINANCIAL
21916,BUFFALO WILD WINGS
21918,CALPINE
21919,CARLISLE
21920,CHIMERA INVESTMENT
21921,CINCINNATI FINANCIAL
21923,COMPUTER SCIENCES
21924,COSTAR GROUP
21925,COTY
21926,CROWN HOLDINGS
21927,DELTA AIR LINES
21928,DILLARDS
21929,DISCOVERY COMMUNICATIONS
21930,DU PONT
21931,EBIX
21932,ECOLAB
21933,EDISON
21934,EQUINIX
21935,EXPRESS
21936,FNB
21937,FOREST CITY ENTERPRISES
21938,FORTRESS INVESTMENT
21939,G-III APPAREL
21941,GRACO
21942,GRUBHUB
21943,HANCOCK HOLDING
21944,HONEYWELL INTERNATIONAL
21945,HORIZON PHARMA
21946,HUNTSMAN
21947,INTERNATIONAL GAME
21948,INTL SPEEDWAY
21949,INVESCO
21950,IROBOT
21951,IRON MOUNTAIN
21952,JUNIPER NETWORKS
21953,KAR AUCTION SERVICES
21954,KIMCO REALTY
21955,LENNOX
21956,LEXMARK
21957,LOEWS
21958,LOUISIANA-PACIFIC
21959,MAGELLAN HEALTH
21960,MOHAWK INDUSTRIES
21961,MSG NETWORKS
21962,MURPHY USA
21963,NEUSTAR
21964,NEWS CORP
21965,OAKTREE CAPITAL
21966,OFFICE DEPOT
21967,OIL STATES INTERNATIONAL
21969,PACWEST BANCORP
21970,PALO ALTO NETWORKS
21971,PARKER HANNIFIN
21973,PIEDMONT NATURAL GAS
21974,PIONEER NATURAL RESOURCES
21975,PUMA BIOTECHNOLOGY
21976,RALPH LAUREN
21977,ROLLINS
21978,ROSS STORES
21979,ROYAL CARIBBEAN CRUISES
21980,SKYWORKS SOLUTIONS
21981,STEVEN MADDEN
21982,SUNSTONE HOTEL
21983,THOMSON REUTERS
21984,THOR INDUSTRIES
21985,TOTAL SYSTEM SERVICES
21986,US COMMODITY INDEX
21987,US OIL FUND
21988,US STEEL
21990,VALMONT
21991,VENTAS
21993,VIASAT
21994,VISTA OUTDOOR
21995,WASHINGTON FEDERAL
21996,WESTROCK
21997,WORKDAY
21998,WORTHINGTON INDUSTRIES
22002,BEKAERT
22008,GROUPE BRUXELLES LAMBERT
22011,TELENET
22012,UCB
22015,EUTELSAT COMMUNICATIONS
22017,FNAC
22018,LAGARDERE
22019,ADVA OPTICAL
22022,AXEL SPRINGER
22025,BECHTLE
22026,BEIERSDORF
22028,BILFINGER
22029,CANCOM
22033,DRILLISCH
22034,EVOTEC
22038,JENOPTIK
22039,KION GROUP
22043,TAG IMMOBILIEN
22045,ALTICE
22046,BRUNEL INTERNATIONAL
22048,IMCD GROUP
22049,NN GROUP
22051,ROYAL DUTCH SHELL
22054,GAMESA
22055,GRIFOLS
22057,TECNICAS REUNIDAS
22061,CIE FINANCIERE RICHEMONT
22068,SWISS LIFE
22072,TEMENOS
22073,U-BLOX
22078,VZ HOLDING
22080,3I GROUP
22103,ALS
22104,AMP
22105,APA
22106,ARB
22107,ARISTOCRAT LEISURE
22108,ASALEO CARE
22110,ASX
22111,AURIZON
22112,AUSNET SERVICES
22113,AUTOMOTIVE
22114,AVEO
22115,BENDIGO AND ADELAIDE BANK
22116,BLUESCOPE STEEL
22117,BRAMBLES
22118,BREVILLE
22122,CALTEX
22123,CARDNO
22124,CARSALES
22125,CHALLENGER
22126,CHARTER HALL
22127,CIMIC
22128,COCA-COLA AMATIL
22129,CORPORATE TRAVEL MANAGEMENT
22131,CSL
22133,DEXUS PROPERTY
22134,DOWNER EDI
22136,DULUXGROUP
22137,ESTIA HEALTH
22138,EVOLUTION MINING
22139,FLEXIGROUP
22140,FLIGHT CENTRE TRAVEL
22141,FORTESCUE METALS
22142,G.U.D.
22143,G8 EDUCATION
22144,GOODMAN
22145,GRAINCORP
22147,GWA
22148,HARVEY NORMAN
22149,HEALTHSCOPE
22150,ILUKA RESOURCES
22151,INCITEC PIVOT
22152,INDEPENDENCE
22154,INVOCARE
22155,IOOF
22156,IRESS
22157,JB HI-FI
22158,KAROON GAS
22160,LIQUEFIED NATURAL GAS
22163,MACQUARIE
22164,MCMILLAN SHAKESPEARE
22165,MEDIBANK PRIVATE
22166,METCASH
22167,MINERAL RESOURCES
22168,MIRVAC
22169,MONADELPHOUS
22170,NAVITAS
22171,NEWCREST MINING
22172,NUFARM
22173,ORICA
22174,ORIGIN ENERGY
22175,OZ MINERALS
22176,PACT GROUP
22177,PERPETUAL
22178,PLATINUM ASSET MANAGEMENT
22179,PREMIER INVESTMENTS
22181,QBE INSURANCE
22182,QUBE
22183,RAMSAY HEALTH CARE
22184,REGIS RESOURCES
22186,SANDFIRE
22187,SANTOS
22188,SCENTRE
22189,SEEK
22191,SEVEN WEST MEDIA
22193,SONIC HEALTHCARE
22194,SOUTH32
22195,SOUTHERN CROSS MEDIA
22196,SPARK INFRASTRUCTURE
22197,SPOTLESS
22198,STEADFAST
22199,STOCKLAND
22200,SUNCORP
22201,SUPER RETAIL
22202,SYRAH
22203,TABCORP
22204,TASSAL
22206,TELSTRA
22207,TPG TELECOM
22208,TRANSURBAN
22209,TREASURY WINE
22212,VILLAGE ROADSHOW
22213,VOCUS COMMUNICATIONS
22214,WESFARMERS
22215,WESTERN AREAS
22217,WESTPAC BANKING
22218,WOODSIDE PETROLEUM
22219,WORLEYPARSONS
22220,ASCENDAS REAL ESTATE
22221,CAPITALAND MALL
22223,GOLDEN AGRI-RESOURCES
22224,JARDINE CYCLE & CARRIAGE
22225,OVERSEA-CHINESE BANKING
22226,SEMBCORP INDUSTRIES
22227,SIA ENGINEERING
22228,SINGAPORE PRESS
22229,SINGAPORE TECH ENGINEERING
22230,UNITED OVERSEAS BANK
22231,CHEUNG KONG PROPERTY
22232,CHINA MERCHANTS HLDGS INTL
22233,CHINA OVERSEAS LAND & INVEST
22234,CHINA OVERSEAS PROPERTY HOLD
22235,CHINA RESOURCES BEER
22237,CHINA RESOURCES POWER
22238,HANG LUNG PROPERTIES
22239,HONG KONG & CHINA GAS
22241,LI & FUNG
22242,LINK REIT
22243,MTR
22244,SINO LAND CO
22245,SUN HUNG KAI
22246,SWIRE PACIFIC
22247,WHARF
22250,ASTELLAS PHARMA
22254,DAIKIN INDUSTRIES LTD
22255,DAIWA SECURITIES
22256,FANUC
22258,FUJITSU
22260,HITACHI CAPITAL
22261,IHI
22263,JTEKT
22265,KAWASAKI
22266,KOBE STEEL
22267,KONICA MINOLTA
22268,MARUBENI
22269,MITSUBISHI ELECTRIC
22270,MITSUBISHI HEAVY INDUSTRIES
22272,MITSUBISHI UFJ FINANCIAL
22273,MITSUI CO
22274,MITSUI CHEMICALS
22276,MIZUHO FINANCIAL
22277,NEC CORP
22278,NIPPON STEEL & SUMIKIN BUSSA
22279,NIPPON TELEGRAPH & TELEPHONE
22280,NIPPON YUSEN
22281,NOMURA HOLDINGS
22282,OLYMPUS
22284,PANASONIC
22286,RESONA
22287,RICOH
22289,SHINSEI BANK
22290,SHISEIDO
22291,SOJITZ
22292,SUMITOMO CHEMICAL
22293,SUMITOMO MITSUI FINANCIAL
22294,SUMITOMO MITSUI TRUST
22295,TAIHEIYO CEMENT
22296,TAISEI
22297,TDK
22298,TOKYO ELECTRIC POWER
22300,YAHOO JAPAN
22301,CHINA LIFE INSURANCE
22303,QIHOO 360
22304,58.COM
22305,SINA
22306,BAIDU
22307,ALIBABA
22308,CHINA UNICOM
22309,FIAT CHRYSLER
22311,XAGEUR
22312,XAUEUR
22315,AUDSGD
22316,AUDZAR
22319,CADMXN
22326,CHFSGD
22330,EURCNH
22332,EURRON
22333,EURSGD
22334,GBPDKK
22335,GBPTRY
22337,NOKJPY
22338,NOKSEK
22339,NZDSEK
22340,SEKJPY
22342,USDRON
22344,NAT.GAS
22346,XPDUSD
22348,XPTUSD
22350,ALTRI
22354,ENERGIAS DE PORTUGAL
22355,JERONIMO MARTINS
22358,REDES ENERGETICAS NACIONAIS
22360,BUILD AMERICA BOND
22361,DB AGRICULTURE FUND
22362,DB COMMODITY INDEX
22363,DB OIL FUND
22364,DB US DOLLAR INDEX
22365,DWA MOMENTUM
22366,DYN L-C VALUE
22367,EM MKT SOVR DEBT
22368,FDMNL H-Y CORP B
22369,FINANCIAL PREFRD
22370,FTSE RAFI US1000
22371,FTSE RAFI US1500
22372,INTER DVD ACHIEV
22373,NATIONAL AMT-FRE
22374,PREFERRED PORTFOLIO
22375,QQQ TRUST SERIES
22376,S&P 500 LOW VOLATILITY
22377,SENIOR LOAN
22378,WATER RESOURCES
22380,MSCI EMERGING MARKET
22385,IBOXX USD HIGH YIELD
22387,20+ YEAR TREASURY BOND
22389,CORE S&P 500
22395,BTCUSD
22396,BTCEUR
22397,ETHUSD
22398,ETHEUR
